relative_path,size_bytes,modified_at_utc,hash_algorithm,sha256,hashed_at_utc
metadata/experiment_event_log.csv,232,2026-07-28T10:44:39.232Z,SHA-256,cd0acd7a2dab7a57f4b1b220d3f0623c7ff773fe7460e4187c1147243d85344f,2026-07-28T10:55:57.982Z
metadata/hash_manifest.csv,1023,2026-07-28T10:45:16.381Z,SHA-256,f76ee1e8f62e6fe70573eb9c625b0be1631d7340b8e967bd5554f4af76217a09,2026-07-28T10:55:57.982Z
metadata/session_manifest.json,2943,2026-07-28T10:45:16.301Z,SHA-256,44525d2107d6f2e3f0107226b5d970aaefb88c076b1f11b3b4c580ef0a5e7e76,2026-07-28T10:55:57.982Z
metadata/time_sync_after.txt,906,2026-07-28T10:45:16.301Z,SHA-256,7b70dcd3bc4c2f50f05a5448c48127804f230c7a9b5f6c629d591c31f3c764e3,2026-07-28T10:55:57.982Z
metadata/time_sync_before.txt,906,2026-07-28T10:44:39.231Z,SHA-256,f740bd3bb196197952f2e69fb095db66b48ae18843a9f9ab8847ad374a9e54a4,2026-07-28T10:55:57.982Z
raw/baseline.pcapng,457076,2026-07-28T10:49:22.696Z,SHA-256,9a0a4a5475496232b43cc09ee4c8353c26ef125f820e7714da6e676f092b0682,2026-07-28T10:55:57.982Z
raw/openplc_evidence.csv,22092,2026-07-28T10:45:15.284Z,SHA-256,d7f0a5d0686ce5c705acc76a593797e9a6a1cd6fe3e90e732b3c4ee8a6b44d81,2026-07-28T10:55:57.982Z
raw/raspi_evidence.csv,47589,2026-07-28T10:45:15.280Z,SHA-256,148781642a869923a6998144a42381a587638d3631a49f5414118c82a47b81b1,2026-07-28T10:55:57.982Z
